Name,Label
Seek out mentors within Bangkit or the tech industry.,1
Attend Street Fair,0
Plan a neighborhood watch,0
Organize a book swap,0
Grade assignments and provide feedback.,1
Weekly Consultation 12 - ML-66,1
Research and Data Analysis on Local Ecosystem with the team,1
Organize digital files,0
Teaching Practice for Early Childhood Pre-service Teacher,1
Oceanography research paper,1
Attend an Online Workshop about Time Management,0
Academic Integrity Session,1
Organize a virtual study group,0
Visit Planetarium,0
Nuclear Engineering radiation safety report,1
Go to a Cat Cafe,0
Finance case analysis,1
Organize stationery,0
Plan a friendship bracelet,0
Strive for accuracy and attention to detail in all work assignments.,1
Aerospace Engineering flight dynamics report,1
Go to a Magic Show,0
Organize a clothing drive,0
Leadership Conference,1
[Non Mandatory] Company Expose: Braincore,0
Marine Biology species cataloging,1
Music theory analysis,1
ILT-SS-06-CG Professional Branding and Networking,1
Case Strategy Meeting with Legal Team,1
Provide constructive feedback to colleagues to support their growth.,1
Spend time engaging in extended breaks or personal errands during work hours.,0
Focus excessively on children's academic struggles rather than seeking solutions.,0
Organize a community garden,0
Radio Bangkit Session #11,0
Participate in team-building activities to strengthen relationships.,1
Attend a Haunted House,0
[Non-Mandatory] Cohort Room with Bangkit Team,0
Watch TV until midnight,0
ILT-ML-03-AV Machine Learning Fundamentals: Exploring Supervised Techniques,1
Community Engagement Project,1
Create a digital vision board,0
Engage in excessive self-criticism over coding abilities.,0
Visit a Lighthouse,0
Revise project plan deadline for product track,1
Overload children with advanced coursework without considering readiness.,0
Weekly Consultation 2 - ML-66,1
LinkedIn profile update,1
Spend hours reorganizing notes instead of studying.,0
[Non-Mandatory] Bangkit 2024 Batch 1 Guest Speaker Session #4,0
Weekly Consultation 6 - ML-66,1
Visit an Art Gallery,0
Go to a Local Cheese Tasting,0
Seek help from teachers or tutors when needed.,1
Create a DIY photo booth,0
Educational Tour,1
[Non Mandatory] Company Expose with PT Astra Graphia Information Technology,0
Forestry conservation plan,1
Public Policy Discussion,1
Research Skills Workshop,1
[Non-Mandatory] Bangkit 2024 Batch 1 Guest Speaker Session #3,0
Radio Bangkit Session #8,0
Work on new project's design,1
Go to a Tattoo Convention,0
Organize a book club meeting,0
Debate case preparation,1
Event Management risk assessment,1
Attend Fan Convention,0
Bilingual Education language assessment,1
Organize a fashion show,0
Research Methodology Workshop,1
Head to the park and find a shady spot to sit and read,0
Spend hours debating with classmates over trivial topics.,0
Obsess over children's college or university choices at an early age.,0
Attend a Balloon Festival,0
Plan a treasure hunt,0
Plan a yoga session,0
Research Data Analysis,1
Attend Creative Brainstorming Session with Design Team,1
Spend excessive time crafting elaborate educational schedules without flexibility.,0
Plan a cultural festival,0
Create a virtual travel journal,0
Organize a talent show,0
Social Media Browsing,0
Client Conference for Estate Planning and Trust Administration,1
Attend a Junk Art Festival,0
Visit a Hot Air Balloon Ride,0
Plan a beach cleanup,0
Collaborate with colleagues to brainstorm innovative solutions.,1
Academic Strategy Session,1
Pharmacology drug interaction study,1
Sales Team Meeting to Review Pipeline and Set Targets for the Week,1
Attend a Science Fiction Convention,0
Journalism investigative report,1
Organize a backyard sports day,0
[Non Mandatory] Company Expose with Dicoding,0
Organize a neighborhood block party,0
Honor Society Meeting,1
Visit a Fall Festival,0
Spend time engaging in extended personal conversations with colleagues.,0
Automotive Engineering engine analysis,1
Get caught up in online debates instead of focusing on coursework.,0
Plan a family game night,0
Assignment: Online Learning #11 - TensorFlow Certification Preparation,1
Plan a historical tour,0
Beach Day,0
Textiles fabric swatchbook,1
Get caught up in online debates about controversial topics instead of studying.,0
Peer Mentoring Program,1
Plan a prank on friends,0
[Non Mandatory] Company Expose with Algo Network,0
Foster a supportive and inclusive work environment for all employees.,1
Overwhelm children with unrealistic academic expectations.,0
Spend time excessively cleaning or tidying personal workspace.,0
ILT-ML-01-AF Collecting Data with Python,1
Researching and Analyze Competitor with Team,1
Organize a photo walk,0
Legal Research for a Corporate Merger and Acquisition,1
Assignment: Assignment - Critical Thinking and Problem Solving,1
Academic Career Workshop,1
Seek opportunities to mentor junior colleagues.,1
Contribute to open-source projects or community initiatives.,1
Seminar attendance notes,1
Organize sports equipment,0
Spend excessive time debating trivial decisions with colleagues.,0
Aviation flight simulation,1
Faculty Development Workshop,1
Symposium Participation,1
Go to a Vineyard Harvest,0
Create a sewing project,0
Public Relations media plan,1
Create a YouTube channel,0
Regulatory Compliance audit,1
Industrial Design product prototype,1
Plan a star-gazing night,0
Visit a Wildlife Sanctuary,0
Clean the apartment,0
Spend excessive time perfecting the design of presentation slides.,0
Urban Planning community survey,1
Assignment: Assignment: Stress Management Adaptability and Resilience,1
Enroll children in excessive tutoring or enrichment programs.,0
Graduate Research Seminar,1
Attend a Flamenco Dance Show,0
Spend excessive time curating office playlists instead of working.,0
Go to an Escape Room,0
Plan a prank on friends,0
Organize a virtual game night,0
Stay informed about current events and global issues.,1
Scholarship Interview,1
Plan a BBQ party,0
Spend time organizing personal finances or bills during work hours.,0
Academic Writing Lab,1
Spend time engaging in personal projects unrelated to Bangkit curriculum.,0
Plan a sleepover,0
Spend excessive time planning elaborate lunch outings with colleagues.,0
Fundraising campaign strategy,1
Go to a Street Magic Show,0
Join a Book Club,0
Encourage collaboration and knowledge-sharing among team members.,1
Clean out the fridge,0
Advocacy Campaign strategy plan,1
Browse memes,0
Undergraduate Research Day,1
Maintain a clean and organized workspace for optimal productivity.,1
Group Project Meeting,1
Attend a Sandcastle Competition,0
Media studies video project,1
Site Inspection and Safety Check for the afternoon,1
Geology rock sample analysis,1
Spend excessive time debating trivial decisions with colleagues.,0
Visit a Hot Springs,0
Visit a Treehouse Tour,0
Network with peers and professionals in chosen field.,1
Mental Health Workshop,1
Spend time debating personal preferences with colleagues.,0
Attending Creative Team Meeting to Discuss Project Briefs and Deadlines,1
Rearrange furniture in the dorm room.,0
Continuously seek feedback to improve performance.,1
Assignment: Online Learning #06 - DeepLearning.AI TensorFlow Developer Professional Certificate,1
[Non Mandatory] Company Expose with Kitabisa,0
Attend a Wine Tasting,0
Submit Math Assignment 4: Algebra,1
Overcomplicate coding projects with unnecessary features or functionality.,0
Attend a Drum Circle,0
Statistics data analysis,1
Theology doctrine comparison,1
Overcommit to Bangkit community events without balancing workload.,0
hair care at beauty salon,0
Visit a Heritage Festival,0
Provide support and guidance to junior colleagues when needed.,1
ILT-SS-02-BJ Time and Energy Management,1
Networking Luncheon,1
Complete Your Logbook Working on Capstone,1
Go to an Escape Room,0
Assignment: Online Learning #05 - Machine Learning Specialization by Andrew Ng,1
Finance case analysis,1
Reflect on Weekly Achievements and Set Goals for Next Week in the meeting,1
"FaceTime with a friend, talk about nothing in particular",0
Create a video diary,0
Participate in hackathons or coding competitions to apply learning.,1
Plan a music jam session,0
Webinar participation report,1
Skills assessment,1
Bangkit Live Session #2 2024,0
Quantitative Research statistical analysis,1
Attend a Swing Dance,0
Educational Podcast Recording,1
ILT-SS-05-BA Project Management,1
Professional Development plan,1
Plan a board game tournament,0
College Orientation,1
Visit a Treehouse Tour,0
Shopping with friends,0
Organize a social media takeover,0
Spend excessive time rearranging office furniture for aesthetic purposes.,0
Use resources like libraries and online databases for research projects.,1
ILT-ML-01-AF Collecting Data with Python,1
Nursing clinical logbook,1
Community Engagement Workshop,1
Plan a tech-free weekend,0
Office Mandatory Team Building Activity,1
Plan a themed dinner,0
Attend a Fantasy Convention,0
Graduate Research Workshop,1
Research Symposium,1
Set clear expectations and boundaries for academic performance.,1
Peer Review Session,1
Faculty Development Seminar,1
Career Planning Session,1
Obsess over minor details in email communication.,0
Graphic Design project critique,1
Study for upcoming exams or quizzes.,1
Negotiation strategy development,1
Interior Design room layout,1
Visit a Wildlife Sanctuary,0
Spend excessive time organizing digital bookmarks.,0
Plan a pet adoption event,0
Robotics programming task,1
Visit a Folk Music Festival,0
Education lesson plan,1
Create a personalized calendar,0
Spend excessive time rearranging office furniture for aesthetic purposes.,0
Attend a Juggling Workshop,0
Instructional Design module creation,1
Weekly Consultation 12 - ML-66,1
Academic Mentorship Workshop,1
Organize a fitness challenge,0
Plan a spa day at home,0
Educational Symposium,1
Webinar Hosting platform setup,1
Do some light stretching and yoga for 30 minutes,0
Water the plants,0
Astronomy observation log,1
Volunteer Coordination task assignment,1
Play with my pet,0
Medical terminology study,1
Language Learning Session in campus (Education),1
Professional Skills Workshop,1
Go to a Diner En Blanc,0
Procrastinate on coding assignments until the last minute.,0
Faculty Development Workshop,1
Bi Weekly Feedback to Mentor #1,1
Do a quick workout consisting of 10 push-ups and 10 sit-ups.,0
Exam Preparation,1
Organize a documentary screening,0
Disability Studies accessibility audit,1
Job Interview,1
Biology lab report,1
Create a personalized calendar,0
Graduate Assistant Orientation,1
Organize a movie marathon,0
Spend hours crafting the perfect email to a professor instead of asking a simple question.,0
Culinary Arts recipe development,1
Plan a tech-free weekend,0
Alumni Meeting,1
Brainstorming Meeting with Team,1
Take initiative in solving problems and addressing challenges.,1
[Non Mandatory] Company Expose with Keizen Room,0
Volunteer for extracurricular activities or community service.,1
Review and Revise Course Syllabus for Next Semester,1
Organize a city tour,0
Art portfolio submission,1
Quality Management control chart,1
Watch an episode of a random TV show you've seen before.,0
Faculty Colloquium,1
Recognize and celebrate individual and team achievements.,1
Career Expo,1
Go to a Circus School,0
Participate in a Flash Dance,0
[Non-Mandatory] Cohort Room with Bangkit Team,0
Go to an Arcade,0
Project Plan Deadline for Product Track,1
Organize a car wash fundraiser,0
Visit an Observatory,0
Get involved in online arguments or debates instead of focusing on academics.,0
Attend a Country Fair,0
Go to a Hot Chocolate Bar,0
Academic Support Group,1
Create a short film,0
Organize a sunset hike,0
[Non-Mandatory] Radio Bangkit #5,0
Study Circle,1
Career Workshop,1
Attend workshop about project management,1
Take responsibility for personal growth and development.,1
Research Collaboration Meeting,1
Research Methodology Seminar,1
Attend Industry Webinars and Professional Development Sessions,0
Mentor and Mentee Meeting ,1
Go to a Balloon Glow,0
Gerontology aging study,1
Submit Your Assignment SS-03 Immediately,1
Interior Design room layout,1
Informational Interview summary,1
Important Meeting with Marketing Team about Sales Expectation,1
Project Presentation,1
Seek feedback on work performance to identify areas for improvement.,1
Create a dream travel list,0
Engage in meaningful conversations with children about their interests and aspirations.,1
Update social media profile,0
Study Break Session,1
Arts Management exhibit plan,1
Visit a Haunted Forest,0
Visit a Local History Tour,0
Peer Advising Session,1
Campus Leadership Retreat,1
Journalism investigative report,1
Join a Foodie Tour,0
Collaborate with cross-functional teams to achieve project objectives.,1
Environmental Awareness Workshop,1
Weekly Progress Review Meeting with CEO,1
Renewable Energy feasibility report,1
Plan a karaoke night,0
Attend a Local Author Reading,0
Create a personal challenge,0
Job Shadowing report,1
Shopping on the mall,0
Create a new blog post,0
Spend excessive time planning elaborate lunch outings with colleagues.,0
Submit Your Assignment SS-02 Immediately,1
Create a handmade jewelry,0
Take a brisk walk or jog around the neighborhood to get some fresh air and exercise.,0
Organize a virtual game night,0
Attend a Dog Adoption Event,0
Demonstrate resilience in overcoming obstacles or setbacks.,1
Attend career fairs or networking events.,1
Workshop completion certificate,1
Guest Speaker Session #9 - How to Craft Memorable UI/UX Designs for Maximum Impact,0
Watch an episode of a random cooking show,0
Midterm Exam,1
Visit a Pop-Up Thrift Shop,0
Bi Weekly Feedback to Mentor #3,1
Assignment Submission,1
Join a Cooking Class,0
Work on Database Schema Design and Optimization,1
ILT-ML-06-BB TensorFlow in the Real World: Deploying Models Using TF.js TF Lite and TF Serving,1
Student Panel Discussion,1
Organize a self-care day,0
Plan a laughter yoga session,0
Educational Fieldwork,1
Actuarial Science risk model,1
Go to a Dog Friendly Cafe,0
Conceptualization and Sketching of Design Ideas with the team,1
Create a learning schedule,0
Spend excessive time comparing coding progress to peers.,0
ILT-ML-02-AL Deep Dive into Data Analysis,1
Spend excessive time on household chores instead of engaging with children.,0
Plan a charity bake sale,0
Linguistics phonetics transcription,1
Academic Integrity Workshop,1
Faculty Advising Session,1
Anthropology ethnography,1
Plan a sleepover,0
Community Outreach,1
Prioritize tasks effectively to meet deadlines and deliverables.,1
Technology Expo,1
Printmaking edition planning,1
Community Service,1
Academic Mentoring Session,1
Go to a Street Magic Show,0
Organize a meditation circle,0
Gaming Session,0
Go to a Fireworks Show,0
Go to a Wine and Chocolate Pairing,0
Training Session evaluation form,1
Science Fair,1
Celebrate children's achievements and milestones.,1
Radio Bangkit Session #11,0
[Non Mandatory] Company Expose: Braincore,0
Job Interview,1
Visit a Community Flea Market,0
Attempt to learn a new hobby.,0
Volunteer Event,1
TESOL lesson development,1
Spend excessive time on personal email or social media accounts.,0
Training employee and Development Planning,1
Math homework,1
Weekly Consultation 10 - ML-66,1
Workshop Facilitation materials preparation,1
Study Session at the Library or Coffee Shop with friends,0
Organize a memory jar,0
Take ownership of assigned tasks and projects.,1
Plan a karaoke night,0
Geology rock sample analysis,1
Develop soft skills such as communication and teamwork.,1
Career Fair,1
Participate in a Flash Mob,0
Organize craft supplies,0
Help children develop effective study habits and strategies.,1
Create a seasonal lookbook,0
watching random YouTube videos,0
Plan a neighborhood watch,0
Project Management Gantt chart creation,1
Planning and Prioritizing Tasks for Next Meeting,1
Assignment: Online Learning #09 - TensorFlow: Advanced Technique Specialization,1
[Non-Mandatory] Bangkit 2024 Batch 1 Guest Speaker Session #1,0
Operations Management process flowchart,1
Spend time planning elaborate office pranks or jokes.,0
Celebrate team successes and achievements to boost morale.,1
Adult Education learner assessment,1
Radio Bangkit Session #7,0
Participate actively in group discussions and collaborative projects.,1
Meet project deadlines to ensure timely deliverables.,1
Create a photo wall,0
Create a digital diary,0
Standards Development guideline drafting,1
Community Meeting,1
Classics text translation,1
Plan a surprise visit,0
Final Exam,1
Language Proficiency Test,1
Create a DIY cleaning product,0
Create a personal challenge,0
Obsess over minor coding errors instead of seeking assistance.,0
Seek mentorship from senior members of the Bangkit cohort.,1
Supply Chain Management logistics plan,1
Spend time planning personal vacations or trips during work hours.,0
Business plan presentation,1
[Bangkit 2024 Batch 1] English Pre-Test,1
Attend a Macrame Workshop,0
Organize a photo contest,0
Nutrition meal planning assignment,1
Financial Literacy Workshop,1
Networking event follow-up,1
Organize holiday decorations,0
Academic Planning Session,1
Legislative Review position paper,1
Undergraduate Research Day,1
Attend Financial Planning Meeting,1
Compare oneself to others academically or socially.,0
Academic Achievement Celebration,1
Arts Integration project proposal,1
Research Presentation Workshop,1
Technical Communication user manual,1
Build relationships with potential employers through informational interviews.,1
Organize a cook-off,0
Visual Communication design critique,1
Overreact to minor setbacks or challenges in children's academic journey.,0
Academic Support Group,1
Peer Counseling Session,1
Attend a Parade,0
Attend a Soapbox Derby,0
Spend excessive time researching educational trends without considering individual children's needs.,0
Visit a Lavender Farm,0
Anthropology ethnography,1
Graduate Research Seminar,1
Create a virtual travel journal,0
Academic Planning Workshop,1
Digital Communication content calendar,1
Plan a wellness day,0
Language Exchange,1
Call your mom and chat for a bit.,0
Peer Review Meeting,1
Casual Hangout,0
Visit a Bird Watching Tour,0
Spend excessive time comparing coding skills to peers.,0
Team Meeting for Project Planning,1
Try new recipes,0
Cybersecurity threat assessment,1
Supervision Session observation notes,1
Research Communication Workshop,1
#1 Report Learning Progress to Supervisor,1
Spend excessive time creating intricate to-do lists without taking action.,0
Attend Comic Con,0
Create a podcast,0
Organize a book donation,0
Utilize resources provided by Bangkit for skill development.,1
Skills Assessment Workshop,1
Overcommit to too many clubs or organizations.,0
Visit a Dog Park Meetup,0
Reading a book about Healthy Life,0
Leadership Seminar,1
Get a cozy nap before start working,0
Attend Fan Convention,0
Psychology experiment write-up,1
Support colleagues who may need assistance with their tasks.,1
Attend Departmental Meeting,1
Attend a Lunar New Year Festival,0
Quality Management control chart,1
Monthly maintenance for car,1
Spend excessive time reorganizing study materials instead of actually studying.,0
[Non Mandatory] Company Expose with Bizzagi,0
[Non Mandatory] Company Expose with Bukit Vista,0
Environmental Engineering waste management plan,1
Plan a surprise trip,0
Seek feedback on assignments to improve.,1
[Non Mandatory] Company Expose with PT Amanah Karya Indonesia,0
Visit Aquarium,0
STEM Club Meeting,1
Research Data Collection,1
Conference attendance log,1
Review Client Feedback and Project Updates with the team,1
[Mandatory] Capstone Briefing #3: Product Track,1
Overstress children with unrealistic academic demands.,0
Weekly Consultation 2 - ML-66,1
Attend workshops and seminars offered by Bangkit partners.,1
Obsess over children's educational achievements in public settings.,0
Chemistry quiz preparation,1
Collecting the data for Biodiversity Monitoring Project with the team,1
Participate in Quality Improvement Projects and Safety Rounds,1
Chemical Engineering process design,1
Write Diary,0
Qualitative Research thematic coding,1
Organize a painting class,0
Organize a clothing drive,0
Create a virtual art gallery,0
Attend a meeting with Environmental Advocacy Group,1
Go to a Bicycle Parade,0
Teamwork project coordination,1
[Mandatory] Bangkit 2024 Technical Briefing Session,1
Engage in networking opportunities with industry professionals.,1
Research Session,1
Call a friend for a chat and catch up on each other's lives,0
Create a DIY home decor,0
Browse memes,0
Create a YouTube channel,0
Watch a nature documentary on TV,0
Plan a wellness retreat,0
ILT-ML-02-AL Deep Dive into Data Analysis,1
Spend excessive time on social media instead of engaging with children.,0
Explore specialized areas of interest within tech industry.,1
Faculty Panel Discussion,1
Manage time effectively to balance workload and personal life.,1
Plan a book launch party,0
Weekly Consultation 15 - ML-66,1
Poetry anthology review,1
Bi Weekly Feedback to Mentor #6,1
Animation sequence planning,1
Spend time on personal hobbies or interests during Bangkit sessions.,0
Spend time debating personal preferences with colleagues.,0
[Non Mandatory] Company Expose with PT Kalbe Farma,0
Go to a Nightclub,0
360 feedback submission deadline for product track,1
Seek internships or job shadowing opportunities in tech companies.,1
Bi Weekly Feedback to Mentor #7,1
Spend excessive time enforcing rigid study schedules without flexibility.,0
Debate case preparation,1
Mixed Methods Research design,1
Plan a backyard BBQ,0
Public Health Seminar,1
Demonstrate resilience in overcoming obstacles and challenges.,1
Sprint Planning Meeting with Product and Design Teams,1
Create a dream travel list,0
Proactively seek opportunities to contribute to team goals and objectives.,1
Keep abreast of industry trends and developments.,1
Hydrology water quality report,1
Econometrics regression analysis,1
Practice effective communication skills in presentations and discussions.,1
Attend a Glow Stick Party,0
Energy Systems efficiency analysis,1
Go on a Road Trip,0
Tourism Management itinerary planning,1
Visit a Haunted Asylum,0
Plan a backyard camping,0
Spend excessive time curating children's educational materials without allowing for exploration.,0
Collaborate with Copywriters on Branding Campaign Concepts,1
Plan a travel photo album,0
Industrial Design product prototype,1
Attend Beer Festival,0
Plan a DIY home improvement project,0
Create a photo calendar,0
Organize a scavenger hunt,0
Bring my friend to the Doctor,0
Visit a Steam Train Ride,0
Leadership Development Session,1
Plan a dance party,0
Bi Weekly Feedback to Mentor #2,1
Engage in all-nighters instead of practicing healthy sleep habits.,0
Microbiology culture identification,1
Research Design Workshop,1
Participate in networking events to expand professional connections.,1
Go to a Flea Market Flip,0
Weekly Consultation 7 - ML-66,1
Reply some email,0
Leadership self-assessment,1
Study Hall,1
Bangkit Live Session 2024,0
Seek mentorship from alumni or industry professionals.,1
ILT-SS-01-CC Growth Mindset and The Power of Feedback,1
Submit Essay Assignment,1
Organize a dance-off,0
Study Abroad cultural immersion report,1
[Non Mandatory] Company Expose with AMATI Indonesia,0
Mock interview feedback,1
Attend a New Age Expo,0
Go to a Skateboard Exhibition,0
[Non-Mandatory] Bangkit 2024 Batch 1 Guest Speaker Session #6,0
Innovation Challenge,1
Visit a Historic Ship,0
Visit a Food Truck Festival,0
Go Horseback Riding,0
Attend a Vintage Car Show,0
Conduct thorough research when working on projects or proposals.,1
Spend excessive time worrying about children's educational milestones.,0
Spend excessive time researching educational methodologies without practical application.,0
Browse through old photo albums and reminisce about past memories.,0
Create a personalized gift,0
[Bangkit 2024 Batch 1] English Pre-Test,1
Radio Bangkit Session #12,0
Spend excessive time planning children's educational future without their input.,0
Practice self-care habits such as adequate sleep and healthy eating.,1
Watch a few episodes of a lighthearted TV show.,0
Watch a random documentary on Netflix,0
Career Guidance Workshop,1
Foster a culture of accountability and responsibility within the team.,1
Visit a Fair Trade Market,0
Assignment: Online Learning #04 - Mathematics for Machine Learning and Data Science,1
Assignment: Assignment: Growth Mindset and The Power of Feedback,1
Conference Planning session scheduling,1
Coordinate with PR Agency for Press Releases and Media Coverage in the meeting,1
[Non Mandatory] Company Expose with PT Amanah Karya Indonesia,0
Program Evaluation outcome measurement,1
Faculty Seminar,1
Internship performance review,1
Review and Respond to Employee Inquiries and Requests,1
Organize a fishing trip,0
Organize a letter-writing campaign,0
Law case brief,1
Take a Selfie Tour,0
Create a podcast,0
Spend time engaging in personal hobbies or interests during work hours.,0
Professional Internship,1
Automotive Engineering engine analysis,1
Spend time engaging in extended personal conversations with colleagues.,0
Weekly Consultation 6 - ML-66,1
Plan a potluck dinner,0
Watch a random documentary on TV.,0
Visit a Nature Photography Workshop,0
Attend a party,0
Prepare for standardized tests like SAT or ACT.,1
Review and Update Project Plans with Team,1
Review Feedback and Adjust Plans from the Client,1
Client Meeting to Discuss Project Requirements,1
Participate in Company-wide Hackathon or Innovation Challenge,1
Organize stationery,0
Attend a Sunset Cruise,0
Go on a Ghost Tour,0
College Orientation,1
Spend excessive time on personal hobbies instead of academics.,0
Seek opportunities for interdisciplinary learning.,1
Machine Learning data preprocessing,1
Bi Weekly Feedback to Mentor #4,1
Create a weekly vlog,0
Create a DIY beauty product,0
Writing Workshop,1
Coaching session reflection,1
Submit Your Logbook,1
Stay organized with digital or physical filing systems for documents.,1
Create a professional portfolio showcasing academic and extracurricular achievements,1
Community Service hours log,1
Respect confidentiality and privacy when handling sensitive information.,1
College Fair,1
Graduate School Interview,1
Certification exam study,1
Encourage children to pursue extracurricular activities.,1
Submit Your Logbook,1
Meeting with Senior Partner to Discuss Case Strategy,1
Create a DIY beauty product,0
Visit a Butterfly Conservatory,0
Ceramics kiln log,1
Professional Association membership renewal,1
Go to a Cider House,0
Research for Presentation tomorrow,1
Political Science case study,1
Attend a Fall Foliage Tour,0
Try new makeup looks,0
Festival Planning permit application,1
Plan a family photo session,0
Plan a laughter yoga session,0
Plan a DIY jewelry project,0
Professional Development Session,1
Spend excessive time on social media.,0
Research Data Collection,1
Special Education individualized education plan,1
Biotechnology patent application,1
Submit Teaching Plans Immediately,1
Attend a Snow Sculpture Contest,0
Graduate Assistant Meeting,1
Instructional Design module creation,1
Capstone Project,1
Study Skills Workshop,1
Create a mood board,0
Code of Ethics review,1
Get some fresh air,0
Student Government Meeting,1
Screenwriting script draft,1
Attend Street Fair,0
Spend excessive time preparing elaborate educational meals without considering nutrition.,0
Take elective courses to explore new interests.,1
[Mandatory Session] Acara Lepas Sambut Bangkit 2024,1
Balance workload effectively to prevent overwhelm and burnout.,1
Attend a Paper Making Workshop,0
Marketing Strategy Meeting to Review Campaign Performance,1
[Non-Mandatory] Bangkit 2024 Batch 1 Guest Speaker Session #2,0
Code Review Session for Recent Changes in Project with team,1
Educational Research Workshop,1
Forestry conservation plan,1
ILT-SS-03-BE Stress Management Adaptability and Resilience,1
Thesis Proposal Defense,1
Create a life goals list,0
Enjoying the sunshine,0
Network with Bangkit alumni for career advice and opportunities.,1
Overanalyze feedback from mentors or peers on coding projects.,0
Tutoring Session,1
Art portfolio submission,1
ILT-ML-05-AX Going Beyond the Basics: Advanced Deep Learning Techniques with TensorFlow,1
Health and Wellness Fair,1
Research Methodology Seminar,1
Financial Aid Session,1
Attend a Team Collaboration Meeting to Discuss Project Roadmap,1
Exam Preparation,1
Job Shadowing report,1
Genetics gene editing plan,1
[Mandatory] Bangkit 2024 Batch 1 - Student Team Meeting 1,1
Respect diverse perspectives and opinions within the team.,1
Visit a World Heritage Site,0
Overcommit to online coding challenges without completing Bangkit assignments.,0
Create a daily gratitude log,0
Go Ice Skating,0
Attend a Dollhouse Show,0
Educational Fieldwork,1
Research Communication Workshop,1
Visit a Soap and Candle Fair,0
Weekly Consultation 9 - ML-66,1
Campus Leadership Retreat,1
Entrepreneurship Workshop,1
Multicultural Event,1
Create a mood tracker,0
Coordinate with Surveyors for Land Surveying and Topographical Mapping,1
Scroll through social media until you fall asleep.,0
Plan a potluck dinner,0
Program Evaluation outcome measurement,1
Attend a Kite Festival,0
Develop critical thinking and problem-solving skills.,1
Public Speaking speech outline,1
Literacy Education reading intervention plan,1
Spend time engaging in personal errands or tasks during Bangkit sessions.,0
Proactively communicate any issues or concerns that may impact work outcomes.,1
Study Break Session,1
Go Stargazing,0
Plan a trivia night,0
Organize a fishing trip,0
[Non-Mandatory] Cohort Room with Bangkit Team,0
Academic Integrity Session,1
Visit a Community Flea Market,0
Organize a cookout,0
Organize a game tournament,0
Organize a digital detox,0
Plant some flower on my garden,0
Attend an Extracurricular Activities after School,0
Spend time engaging in office politics within Bangkit community.,0
Hospitality Management service quality audit,1
Organize a sunset picnic,0
Plan a DIY project,0
Create a photo calendar,0
Engage in extended personal conversations with colleagues during work hours.,0
Civic Engagement Workshop,1
Action Research cycle report,1
Collaborate with Bangkit mentors on real-world projects or internships.,1
Create a poetry collection,0
Visit a Historical Landmark,0
Go to a Cat Cafe,0
Career Coaching,1
Meteorology weather analysis,1
Attend and Engage in Public Forum on Sustainable Development,0
Spend excessive time planning elaborate educational activities without considering children's interests.,0
Conflict Management mediation plan,1
Spend hours on elaborate note-taking methods instead of studying.,0
Go to a Petting Zoo,0
Maintain a positive attitude in high-pressure situations.,1
Networking event follow-up,1
Faculty Office Hours,1
Spend time organizing personal finances or bills during work hours.,0
Continuing Education course registration,1
Plan a weekend getaway,0
Film Studies shot analysis,1
Play Laser Tag,0
Make a cup of coffee and leisurely sip it while scrolling through social media.,0
Organize bookshelves,0
Spend hours designing elaborate study schedules without following through.,0
Health Communication campaign development,1
